label,nose_x,nose_y,nose_z,nose_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v
C,0.548635602,0.291547567,-0.132783204,0.999800324,0.522348166,0.371729106,0.328242689,0.998421013,0.387020439,0.352983207,-0.24617368,0.999862671,0.442834049,0.449531555,-0.452570528,0.985987902,0.551170707,0.476743788,0.233848646,0.329273939,0.548209965,0.341768354,-0.537202895,0.981495738,0.64512682,0.409098625,-0.112720825,0.633363187,0.517016292,0.56393069,0.193670094,0.995052934,0.441379309,0.556997538,-0.193897307,0.998054683
C,0.578483045,0.289080888,-0.140234068,0.999581873,0.549242973,0.370575935,0.256159812,0.996696711,0.389986426,0.353043675,-0.289423972,0.999706984,0.44641301,0.445780188,-0.343839198,0.971113563,0.55113095,0.469993353,0.150750577,0.28869915,0.501745105,0.340972871,-0.21037969,0.964891016,0.592577457,0.383009464,-0.216070041,0.574236512,0.518886089,0.563071549,0.183401182,0.993131042,0.442965627,0.556909025,-0.183596209,0.997012675
C,0.5777601,0.287048906,-0.140475735,0.999564171,0.542973578,0.373170137,0.270481229,0.99636519,0.390954584,0.354904294,-0.280109227,0.999644637,0.438054115,0.445814222,-0.436210275,0.964974582,0.54886657,0.46837911,0.124434143,0.262591928,0.502648592,0.345866084,-0.47810173,0.958506286,0.603858948,0.392077893,-0.291888475,0.54585439,0.519166648,0.563588679,0.186095938,0.992767036,0.444399059,0.558532655,-0.186341837,0.99674654
C,0.577958405,0.252355427,-0.260873348,0.999792159,0.580104113,0.351821542,0.261812478,0.998537421,0.422069788,0.328105897,-0.262984335,0.999841332,0.437498778,0.427063793,-0.595160365,0.987046659,0.623343229,0.447567105,0.272312373,0.39484334,0.53480649,0.315054119,-0.809220493,0.983086586,0.733577788,0.381958157,0.060285475,0.718862832,0.589360476,0.556180418,0.173195928,0.99484247,0.48732689,0.55428642,-0.173356056,0.99795866
C,0.586072803,0.261365116,-0.213381767,0.999798954,0.58097887,0.352963567,0.248162135,0.998299241,0.424208969,0.336369157,-0.243957698,0.99972105,0.44878751,0.425252706,-0.56431222,0.981771231,0.637076139,0.441930741,0.195065305,0.404658914,0.47633189,0.298457533,-0.763948143,0.984315932,0.700777411,0.356239945,-0.018800778,0.760674536,0.592367887,0.562214255,0.157339305,0.995192111,0.489924163,0.558280289,-0.157518074,0.998052299
C,0.587796926,0.26038453,-0.130026519,0.999795437,0.57692486,0.353251457,0.292622805,0.998289526,0.422082931,0.336161047,-0.214144707,0.999649107,0.44892332,0.427534908,-0.478094041,0.978379548,0.634160638,0.44242236,0.211536959,0.403940856,0.494515419,0.307361633,-0.655611932,0.985296309,0.706493497,0.371258289,-0.040382959,0.791459441,0.592350781,0.559632242,0.158482373,0.99529779,0.489885271,0.556775689,-0.158636779,0.998085797
C,0.534181118,0.288879007,-0.092540942,0.999824941,0.501423359,0.369353205,0.366309196,0.998431265,0.382178128,0.356295347,-0.217589393,0.999884725,0.431938112,0.456247717,-0.297403842,0.990151703,0.558424175,0.476096123,0.17774573,0.358370215,0.580032408,0.384077758,-0.130749837,0.981927097,0.646248877,0.422098756,-0.315007716,0.613312423,0.514129221,0.562726855,0.192817509,0.996089995,0.438381732,0.560830772,-0.192872152,0.998488784
C,0.561421394,0.291853189,-0.127766982,0.999757469,0.538996041,0.372049659,0.290933579,0.99797833,0.381046981,0.354035854,-0.264129788,0.99980849,0.453494877,0.447169274,-0.403516322,0.97572124,0.556571484,0.474926978,0.073949106,0.340735942,0.519207835,0.340470672,-0.425702542,0.970894217,0.602562785,0.383143753,-0.374591649,0.62952143,0.516340494,0.564524412,0.188965201,0.995218635,0.438616961,0.560399234,-0.189267159,0.997920096
C,0.576904476,0.29286316,-0.118706875,0.999549866,0.552754104,0.371419638,0.263474107,0.995748341,0.387528092,0.355000466,-0.293766618,0.99966836,0.450342864,0.446367174,-0.327792704,0.963856161,0.557848871,0.471655935,0.148265645,0.286970884,0.498412251,0.348119289,-0.14540495,0.953343511,0.594608665,0.385545611,-0.205193356,0.534652412,0.521468461,0.565671444,0.175932005,0.993313015,0.44097665,0.561671078,-0.176056266,0.997240484
C,0.586674273,0.253536493,-0.226698622,0.999777734,0.590022445,0.34730348,0.306196749,0.998346448,0.427298337,0.3244901,-0.228007913,0.999875188,0.407437503,0.425496846,-0.586804092,0.98751545,0.62601018,0.446303368,0.280223876,0.392033398,0.549683511,0.349654585,-0.855196714,0.978368104,0.72433728,0.422193319,-0.070371032,0.651922643,0.588700771,0.552430928,0.186107919,0.994749606,0.486128688,0.54921937,-0.186207488,0.997994661
C,0.593587637,0.258704782,-0.276741952,0.999816239,0.587554455,0.349334002,0.21930562,0.998359978,0.425704181,0.326800555,-0.245445892,0.999805212,0.455120921,0.42098093,-0.596270502,0.984004259,0.63815695,0.439991117,0.236094832,0.402577966,0.515485406,0.296657324,-0.861667216,0.981995523,0.720543742,0.359019727,0.07786528,0.725707531,0.592476845,0.557436049,0.150924027,0.994629502,0.489973128,0.553576052,-0.151153192,0.998001635
C,0.597532511,0.265608639,-0.240361303,0.999805868,0.586405754,0.349654049,0.233417496,0.997996807,0.4268879,0.327703863,-0.214365184,0.999717653,0.448687136,0.422030181,-0.527031481,0.97758019,0.633526206,0.441123366,0.277290821,0.376578212,0.496636182,0.299176723,-0.780972719,0.982067049,0.705599964,0.369648695,0.168883979,0.741553426,0.592336416,0.558370054,0.145319492,0.994255722,0.490610361,0.554979086,-0.145516247,0.997879207
C,0.565929651,0.295886427,-0.153322473,0.999710321,0.548050761,0.374291629,0.260161966,0.99734813,0.382739842,0.354701877,-0.270533472,0.999830127,0.443112403,0.452986956,-0.367916554,0.972415209,0.559352338,0.475772589,0.099202871,0.293550849,0.521933317,0.352670103,-0.282674909,0.964663982,0.601700842,0.385986358,-0.307449281,0.572333157,0.522625566,0.563957751,0.184427872,0.994342983,0.443271309,0.559926152,-0.184716702,0.997659504
C,0.576977253,0.295973986,-0.146580577,0.99959743,0.551810145,0.371865302,0.251624376,0.996209264,0.389576495,0.355055839,-0.29580006,0.999757111,0.441113442,0.453632563,-0.344538659,0.960755706,0.558223128,0.470861286,0.103453308,0.257665575,0.504110694,0.35184446,-0.210178301,0.951355875,0.601495743,0.389699429,-0.314175636,0.518279076,0.530979633,0.564607561,0.174503982,0.993012965,0.44907397,0.560776293,-0.174711719,0.997183025
C,0.56803745,0.294001281,-0.167838469,0.99963218,0.537193358,0.374563366,0.267518818,0.996504307,0.390625149,0.355291963,-0.291732162,0.999769628,0.435376942,0.456363797,-0.376810074,0.956422508,0.55524236,0.475483745,0.097722322,0.258542389,0.531265259,0.360437065,-0.294574469,0.947657526,0.603350222,0.39441812,-0.372351408,0.541878998,0.529138088,0.565634668,0.189464688,0.993020177,0.449750841,0.561565995,-0.189768478,0.997181356
C,0.604306102,0.274233013,-0.12774545,0.999718189,0.578624904,0.350470394,0.325729489,0.998610616,0.42598331,0.324875385,-0.223634437,0.999899626,0.402191371,0.429510474,-0.420595974,0.987171233,0.61188519,0.453447312,0.270803422,0.404347032,0.558004558,0.359457225,-0.486764073,0.980055273,0.692644358,0.449513465,-0.099515781,0.698129177,0.580328047,0.555100322,0.178138316,0.993951321,0.482312173,0.551841319,-0.178150579,0.997410417
C,0.60265249,0.286744326,-0.255566806,0.999649227,0.57673192,0.349427074,0.212200165,0.998312533,0.425544471,0.328304261,-0.230784118,0.999828517,0.445451409,0.423037201,-0.557805181,0.984318018,0.618377924,0.446909755,0.34609738,0.368869185,0.519336402,0.302340508,-0.807030499,0.983369112,0.720315993,0.375872284,0.314552367,0.726840377,0.582184553,0.559550881,0.147852257,0.991488397,0.486865252,0.557332397,-0.148002684,0.99656862
C,0.610185206,0.289331883,-0.291793138,0.999694705,0.583190978,0.350349039,0.234848484,0.997725129,0.445860535,0.330511153,-0.254491299,0.999781966,0.444521666,0.426369816,-0.613535941,0.978965998,0.62891531,0.441096067,0.408583075,0.337156147,0.479963869,0.305710584,-0.925120771,0.98424238,0.710013449,0.36674121,0.421887428,0.733029842,0.588746369,0.563170552,0.155211002,0.991538227,0.48873952,0.559966803,-0.155380696,0.996710896
C,0.546179891,0.279409349,-0.062760241,0.999748707,0.516679764,0.367959261,0.380492657,0.99850297,0.400014907,0.357027024,-0.244533643,0.999912679,0.446929663,0.460397094,-0.271905601,0.988319516,0.579018116,0.472221047,0.171740994,0.282905489,0.59925127,0.389454275,-0.04439494,0.969687343,0.659534574,0.416772693,-0.348111153,0.542231381,0.5251984,0.564888716,0.19650811,0.994869709,0.457767904,0.562560022,-0.196717232,0.998006463
C,0.563080549,0.282334328,-0.151604548,0.999735594,0.553355634,0.369597942,0.31029889,0.997829735,0.40084973,0.354718655,-0.255533278,0.999869466,0.463655204,0.454250574,-0.357877225,0.981825829,0.572971523,0.47227633,0.088697292,0.261313587,0.550528884,0.346397072,-0.177241221,0.966694951,0.622831106,0.389608949,-0.413857907,0.546922386,0.532076597,0.563909531,0.191147223,0.995040357,0.455801904,0.558119774,-0.191447094,0.997943819
C,0.586777568,0.281549752,-0.153428376,0.999689519,0.559044719,0.369931936,0.270778239,0.997171104,0.409746796,0.355093718,-0.33553493,0.999814391,0.458894789,0.45152688,-0.412525117,0.973578453,0.568219423,0.466117054,0.097179316,0.229615942,0.521653891,0.349405438,-0.240166157,0.957553506,0.610540867,0.388663262,-0.360787243,0.50212419,0.535195887,0.565922081,0.191963077,0.994895995,0.457929999,0.561316431,-0.192234248,0.997907639
C,0.5853194,0.280877501,-0.175651655,0.999694705,0.557829976,0.373993754,0.279125482,0.997048616,0.411475033,0.355231375,-0.342623919,0.999809265,0.45750764,0.454737753,-0.367737323,0.969035923,0.565226197,0.471385807,0.086937815,0.206477672,0.531190932,0.353394955,-0.173665553,0.952469468,0.608352423,0.394080281,-0.441219151,0.480473846,0.533050001,0.56801492,0.206975922,0.994955838,0.458018035,0.563852966,-0.207198545,0.997968018
C,0.612657249,0.278254539,-0.155153975,0.99965322,0.584954858,0.349502355,0.323360831,0.9982813,0.42366758,0.32422483,-0.213964537,0.999909282,0.402556598,0.429028422,-0.404327333,0.988665104,0.619488299,0.450710416,0.279961139,0.392016262,0.559649467,0.364731222,-0.384125203,0.981194854,0.685565293,0.444722325,-0.101284757,0.667128503,0.584086001,0.553195655,0.174622983,0.993510365,0.485412449,0.550657094,-0.174660772,0.99727273
C,0.614160538,0.284614891,-0.185955182,0.999544561,0.588904679,0.347469926,0.227808014,0.997858524,0.429817021,0.32181111,-0.208070979,0.999828756,0.44059664,0.424773127,-0.502906322,0.985669196,0.622787893,0.447545558,0.300686508,0.355244726,0.539752126,0.311775237,-0.710962415,0.984088302,0.71566689,0.373088837,0.172771767,0.703733981,0.586241066,0.556912482,0.1430372,0.990940034,0.488642573,0.55237186,-0.143172368,0.996358216
C,0.616661131,0.286354184,-0.252780139,0.999531209,0.587213635,0.347332209,0.193191737,0.996619701,0.438030511,0.328245014,-0.269211531,0.999740422,0.445714802,0.425198585,-0.572922051,0.979875267,0.628492117,0.435113639,0.418110996,0.310336947,0.515622199,0.303260714,-0.792998374,0.983193338,0.704144597,0.366672158,0.425514102,0.664737225,0.591178119,0.559454858,0.145283014,0.990573943,0.492725134,0.556084037,-0.145489886,0.996592641
C,0.613616645,0.289342403,-0.194560692,0.999503255,0.586443365,0.350241572,0.260350972,0.996683002,0.430685431,0.329825848,-0.146647394,0.999732435,0.441063166,0.431358427,-0.375481248,0.979644656,0.626173854,0.442198873,0.28740707,0.299214572,0.518308401,0.321927547,-0.524125576,0.984732449,0.698882163,0.387800723,0.062603921,0.683026612,0.588492572,0.559139311,0.142742053,0.989711046,0.491073966,0.554787159,-0.142883718,0.996421695
C,0.545748591,0.295011818,-0.097885691,0.999670923,0.510870695,0.370897621,0.339191854,0.997849524,0.389463574,0.356915146,-0.238734633,0.999879837,0.437484771,0.458847165,-0.289341182,0.987275064,0.560803175,0.47771892,0.140950307,0.288220644,0.587116718,0.385842949,-0.148352623,0.975165367,0.636926115,0.421590596,-0.365161568,0.577001035,0.518532157,0.564678133,0.192608222,0.993207216,0.445960939,0.562865674,-0.192821756,0.997365117
C,0.567428768,0.295861214,-0.141699672,0.999634027,0.545575678,0.374733537,0.291785687,0.997123539,0.39476791,0.35574457,-0.28747198,0.999841213,0.448369741,0.453346372,-0.352919817,0.975836098,0.551814854,0.479153842,0.098507248,0.257866591,0.54315269,0.356672138,-0.18969515,0.963127613,0.606560051,0.391442746,-0.364237368,0.547730744,0.521169364,0.565621257,0.195550188,0.992843091,0.447337747,0.561582506,-0.195824206,0.997143328
C,0.588182867,0.295482099,-0.103211582,0.999567211,0.551093936,0.374186724,0.299544513,0.996376514,0.401949376,0.355903029,-0.308431238,0.999797225,0.445484281,0.453066707,-0.298599988,0.970117629,0.55255574,0.474483579,0.156756341,0.218987182,0.514418244,0.354595184,-0.033409402,0.955916882,0.603388488,0.395796984,-0.26276809,0.480985552,0.529330134,0.566654861,0.191446498,0.991925538,0.452017099,0.562640548,-0.191582873,0.996891141
C,0.573729634,0.295417279,-0.203090474,0.99959296,0.537158132,0.375518888,0.282244474,0.996495366,0.402694523,0.355591178,-0.322000772,0.999803245,0.442431659,0.456220061,-0.43239972,0.965503991,0.548988998,0.477226526,0.110927872,0.204552084,0.533612669,0.361865431,-0.37369296,0.952706337,0.595629215,0.413570791,-0.322177142,0.488342971,0.527629912,0.567842245,0.201686934,0.991707206,0.453771532,0.564310372,-0.20192264,0.996823668
C,0.608186603,0.279002666,-0.186561003,0.99935472,0.584055007,0.349779963,0.304344118,0.997790039,0.418174207,0.322862208,-0.228443682,0.999895036,0.40468812,0.4293001,-0.525016248,0.988921702,0.605198383,0.450870484,0.29503715,0.373572558,0.552753627,0.347370833,-0.694464564,0.979236305,0.722029865,0.436161757,-0.004266717,0.631505609,0.577645481,0.553691804,0.182688072,0.99146682,0.481352001,0.550937951,-0.182793155,0.996390998
C,0.606380582,0.287809402,-0.20712997,0.999190927,0.582676947,0.349309653,0.262229919,0.997215986,0.416826457,0.32326445,-0.21396485,0.999828577,0.429347724,0.430499285,-0.450166464,0.986441255,0.607516229,0.451339334,0.291041553,0.351028442,0.539341211,0.323415488,-0.607176602,0.980895698,0.718878031,0.392893404,0.05836368,0.635142803,0.576402903,0.554432452,0.158027619,0.9884426,0.480817825,0.551701486,-0.158121675,0.994779289
C,0.610966563,0.290358365,-0.265463352,0.999332249,0.577755392,0.352897555,0.221359372,0.997322142,0.43414104,0.33146745,-0.238600254,0.999773741,0.443522513,0.430890948,-0.588401079,0.981721759,0.618351817,0.444902271,0.488127261,0.335788608,0.504674375,0.31260258,-0.873399794,0.982145846,0.711121857,0.371578366,0.656221926,0.675086319,0.576311231,0.559024155,0.14965798,0.98867768,0.484983891,0.557509243,-0.149843588,0.995115995
C,0.616610467,0.293460906,-0.261317968,0.999417484,0.580269456,0.350469232,0.217497051,0.997132242,0.439927071,0.332015187,-0.246314019,0.999724329,0.441746086,0.428631634,-0.498994142,0.977045774,0.623665929,0.437698692,0.314673871,0.306372762,0.500586271,0.310456604,-0.673722208,0.983668745,0.705071688,0.381171912,0.192294791,0.691800773,0.580269635,0.559683502,0.151301771,0.988842905,0.485914618,0.5580284,-0.151509017,0.995428681
C,0.546757221,0.290347606,-0.031628456,0.999674082,0.504207909,0.370144486,0.401327074,0.998141527,0.395482779,0.35598588,-0.194078356,0.999896049,0.430739582,0.459543198,-0.35790965,0.987739265,0.561086059,0.480745316,0.32587257,0.263361663,0.59502095,0.411579937,-0.449144959,0.973614573,0.657339811,0.456971079,-0.064546295,0.554181278,0.525129139,0.564627826,0.190725803,0.993433774,0.45552811,0.562919915,-0.190815926,0.997472942
C,0.550785363,0.286281675,-0.128480941,0.99971664,0.530266821,0.371045083,0.328561723,0.99788487,0.396047026,0.354842693,-0.232628062,0.999897182,0.45150125,0.452259392,-0.307207674,0.985923648,0.565743208,0.474891394,0.144170329,0.246243507,0.578074157,0.3585428,-0.157801732,0.973014295,0.630173624,0.403571039,-0.303774714,0.555406034,0.527992427,0.563957095,0.186361417,0.994162023,0.453741342,0.558720529,-0.186571673,0.997732937
C,0.579421163,0.290524185,-0.109622687,0.999637425,0.556532443,0.372821122,0.303044647,0.997000515,0.40371722,0.354597062,-0.281413972,0.999847054,0.44979465,0.452682167,-0.271396011,0.978787422,0.560824811,0.472636849,0.149570495,0.216166988,0.528434277,0.353645235,-0.007220025,0.963751674,0.602604389,0.388310045,-0.260967523,0.503246486,0.531387329,0.564672649,0.185761467,0.993612587,0.454934001,0.558994591,-0.185883895,0.997412086
C,0.589570343,0.291054517,-0.106203876,0.99956876,0.55444181,0.370870143,0.295228034,0.996584058,0.404418439,0.354766756,-0.294994712,0.999802291,0.447861612,0.452961713,-0.279790372,0.972494841,0.554468095,0.469916791,0.139970645,0.189801574,0.523309886,0.352962017,-0.03633317,0.95479852,0.602859259,0.388320297,-0.287635952,0.457665771,0.531772912,0.564835906,0.184962407,0.993219137,0.455793768,0.559717119,-0.185050756,0.997217894
C,0.611951888,0.287728071,-0.196662009,0.999765277,0.585198164,0.354748875,0.301177382,0.998792112,0.424290031,0.324288517,-0.22814329,0.999925673,0.392160147,0.428335339,-0.535346389,0.989274025,0.605830312,0.457227945,0.372318804,0.394595206,0.560556889,0.40649128,-0.778779268,0.978961766,0.739355803,0.467165828,0.070911594,0.647115886,0.578092337,0.552008688,0.183974802,0.995413661,0.480924964,0.550543368,-0.184194252,0.99777025
C,0.609915257,0.284523398,-0.130266562,0.999242604,0.592107236,0.347827911,0.296511084,0.997864425,0.422657281,0.321617872,-0.196383297,0.999870539,0.416664183,0.427990437,-0.485533595,0.988721311,0.615354419,0.446474671,0.327259272,0.341025531,0.554469645,0.337281704,-0.673305213,0.983049989,0.715823114,0.413892776,0.033171304,0.648818493,0.579504788,0.552105069,0.165236965,0.990332365,0.484862864,0.549322665,-0.165272698,0.995816946
C,0.612471759,0.286569804,-0.211328015,0.999340713,0.58914876,0.348881632,0.215101629,0.997847736,0.425953627,0.322393388,-0.217848212,0.999813497,0.440529317,0.427860141,-0.486219466,0.984371006,0.623746812,0.445470065,0.270550251,0.33114326,0.530023754,0.307098895,-0.667256117,0.983592212,0.720861673,0.373810768,0.144747764,0.685146987,0.582425416,0.556219876,0.145418867,0.989198327,0.489096701,0.553427994,-0.145536885,0.995383561
C,0.621861637,0.289419621,-0.265150964,0.999421895,0.58840698,0.348619491,0.226994544,0.997274876,0.448112637,0.328056514,-0.27374354,0.999770522,0.440955907,0.432830304,-0.632026255,0.979909897,0.63193357,0.433345437,0.569740832,0.305738688,0.490508854,0.304102212,-0.922910154,0.984495103,0.711922944,0.367756337,0.810321927,0.681171775,0.585451066,0.559068143,0.154048383,0.989822328,0.490066707,0.554955602,-0.15438652,0.995897174
C,0.568338633,0.293034106,-0.110340014,0.999679208,0.51332736,0.372281879,0.353624761,0.998209476,0.419781238,0.355380177,-0.376114309,0.999912679,0.418967575,0.463739425,-0.462317705,0.988862693,0.520690203,0.480575532,0.515957296,0.256782115,0.572320402,0.511119068,-0.446452707,0.969301403,0.635131121,0.522372484,0.400359541,0.459520876,0.522254527,0.566061795,0.212033376,0.994331777,0.450897574,0.564372957,-0.212094307,0.997816622
C,0.552001178,0.293140769,-0.072953835,0.999705851,0.506063819,0.373462677,0.393244624,0.998430133,0.402525067,0.35886839,-0.282424152,0.999914944,0.431564957,0.464850813,-0.454134375,0.988259196,0.562508881,0.48483777,0.376057208,0.246325865,0.606137216,0.4277381,-0.509552479,0.971026599,0.671604812,0.465818435,-0.014545244,0.505289018,0.520564497,0.566311538,0.212295741,0.994489253,0.452931225,0.564630091,-0.212458208,0.997910142
C,0.551640809,0.287282556,-0.116288818,0.999759376,0.517369747,0.37263906,0.340393573,0.998612344,0.393841505,0.35808754,-0.245118722,0.999925256,0.451317996,0.461521477,-0.295601666,0.987868071,0.576561868,0.475062639,0.11050009,0.273235708,0.600713611,0.383177191,-0.072042517,0.972450197,0.654772878,0.409332007,-0.435500681,0.562189281,0.522339702,0.565238059,0.199466348,0.995135784,0.448809206,0.561659515,-0.199776351,0.998185039
C,0.563603699,0.287996918,-0.172000661,0.999761105,0.550577819,0.375953525,0.289576054,0.998176813,0.396384925,0.356123775,-0.238736808,0.999884725,0.455131322,0.455144137,-0.420601308,0.977039993,0.570200562,0.476741225,0.080984227,0.278905153,0.538552523,0.356629819,-0.464054137,0.966471016,0.617162704,0.394576341,-0.366166383,0.589734972,0.52488935,0.565014422,0.194659874,0.994987428,0.449501187,0.559469461,-0.195041478,0.998047471
C,0.583389997,0.292333007,-0.129501805,0.999648392,0.548615932,0.375500321,0.280867547,0.997043371,0.398894906,0.358532667,-0.303077936,0.999799073,0.44903037,0.454971194,-0.317555398,0.965619802,0.555088639,0.473162204,0.09892045,0.230068207,0.505163133,0.35465017,-0.128251493,0.951827943,0.606730998,0.395010471,-0.353200108,0.501924574,0.530649602,0.567094862,0.190122962,0.993631959,0.458272785,0.563126326,-0.190276906,0.997529507
C,0.619092405,0.290281147,-0.223023131,0.999849081,0.586723447,0.35606885,0.248580486,0.998638749,0.434801519,0.32277891,-0.253294855,0.999937654,0.39325282,0.427832276,-0.443813771,0.987898052,0.615515649,0.45824182,0.370452523,0.355783284,0.49947229,0.480376214,-0.671427488,0.98186034,0.728131533,0.515596211,0.159570247,0.600450754,0.578944683,0.550234795,0.177117363,0.996012807,0.479236454,0.546627223,-0.17737706,0.998367608
C,0.607312679,0.287753254,-0.092182204,0.999539852,0.581616819,0.34975192,0.34300521,0.998407304,0.416513115,0.322173029,-0.173420787,0.999903798,0.401811987,0.427547961,-0.34529683,0.988602221,0.609630048,0.452751637,0.255499512,0.380631775,0.562625229,0.364531398,-0.345783949,0.985451996,0.699696422,0.442905784,-0.173707381,0.676609337,0.575888455,0.551623523,0.169927791,0.992394447,0.476584643,0.549825609,-0.169966608,0.996689439
C,0.607333243,0.288572788,-0.158761919,0.999375582,0.581663847,0.348398924,0.271630526,0.998047352,0.417359382,0.320010275,-0.207775712,0.999842048,0.430747062,0.426719576,-0.491590679,0.988014221,0.609793365,0.452111721,0.314055562,0.366069227,0.551225781,0.321320415,-0.595119596,0.987423897,0.724839091,0.389474273,0.057536513,0.699655712,0.575464189,0.552903771,0.156370416,0.989845812,0.478494406,0.549128056,-0.156427741,0.99539566
